diff_LIX,diff_RIX,diff_REL,diff_KandelMoles,diff_Mesnager,diff_characters_per_word,diff_syll_per_word,diff_words_per_sentence,diff_sentences_per_paragraph,diff_type_token_ratio,diff_directspeech_ratio,diff_characters,diff_syllables,diff_words,diff_wordtypes,diff_sentences,diff_long_words,diff_complex_words,diff_complex_words_mes,diff_tobeverb,diff_auxverb,diff_conjunction,diff_preposition,diff_nominalization,diff_subordination,diff_article,diff_pronoun,diff_interrogative
6.276214833759596,0.0,-4.07470588235293,-2.491304347826116,-0.8064791133844835,0.9258312020460364,0.1381074168797953,-6.0,0.0,0.1150895140664961,0.0,-14.0,-6.0,-6.0,-3.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
-3.4492753623188364,-1.0,4.468095238095245,4.552587991718397,1.2657004830917842,-0.1987577639751547,-0.0331262939958592,-2.0,0.0,0.0,0.0,-14.0,-4.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
-5.183150183150175,-1.0,11.006135531135511,11.229853479853476,0.7753357753357761,-0.0805860805860803,-0.0805860805860805,-5.0,0.0,-0.0091575091575092,0.0,-24.0,-9.0,-5.0,-5.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
-1.5279503105590069,0.0,-0.5842857142857412,0.7335403726708023,-1.0062111801242235,0.35527950310559,0.0906832298136646,-6.0,0.0,0.1130434782608694,0.0,-34.0,-13.0,-12.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-1.0,0.0,0.0
-0.0769230769230802,0.0,-2.013956043956057,-1.4362637362637545,0.2490842490842517,0.2197802197802199,0.0549450549450549,-2.0,0.0,-0.0384615384615384,0.0,-4.0,-2.0,-2.0,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
1.0075187969924857,0.0,-1.6592230576441125,-1.1085213032581436,2.00668337510443,0.2882205513784459,0.050125313283208,-2.0,0.0,-0.0200501253132832,0.0,-5.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-12.75,-3.0,15.099999999999994,14.799999999999985,-0.5,-0.2125000000000003,-0.1499999999999999,-4.0,0.0,0.05,0.0,-27.0,-10.0,-4.0,-3.0,0.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
0.1428571428571388,-1.0,1.8478571428571229,3.1928571428571217,-1.539682539682541,0.3809523809523814,0.0714285714285714,-7.0,0.0,0.0,0.0,-31.0,-12.0,-7.0,-6.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,-1.0,0.0,0.0
1.5944055944055933,0.0,-4.174965034965041,-3.008391608391605,0.9976689976689954,0.4895104895104891,0.1118881118881118,-4.0,0.0,-0.0209790209790209,0.0,-10.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
-15.545454545454549,-3.5,11.164999999999992,12.650000000000006,-3.666666666666664,-0.1818181818181816,0.0,-11.0,0.0,-0.0454545454545454,0.0,-4.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
8.62626262626263,1.0,-13.410707070707076,-11.541414141414124,-0.996632996632993,0.737373737373737,0.2373737373737372,-4.0,0.0,-0.0202020202020202,0.0,-8.0,-3.0,-4.0,-4.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
-6.6023391812865455,-1.0,10.390847953216364,9.388011695906428,-15.261208576998047,-0.4853801169590648,-0.1549707602339181,1.0,0.0,0.0029239766081871,0.0,-3.0,-1.0,1.0,1.0,0.0,-1.0,-2.0,-4.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
-3.813852813852812,-1.0,9.139675324675324,8.656493506493518,-2.497835497835496,-0.2792207792207799,-0.1103896103896104,-1.0,0.0,-0.0021645021645022,0.0,-11.0,-4.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
1.6666666666666643,0.0,-1.7943333333333555,-0.596666666666664,1.8888888888888893,0.3600000000000003,0.0933333333333332,-5.0,0.0,0.0333333333333333,0.0,-19.0,-6.0,-5.0,-4.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
-4.00744416873448,-2.0,-4.513089330024783,-3.108560794044664,0.4011579818031414,0.3498759305210921,0.1302729528535979,-5.0,0.0,0.0272952853598015,0.0,-18.0,-5.0,-5.0,-3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0,-1.0,0.0,0.0
0.8985507246376798,0.0,-1.3223809523809535,-0.7973084886128561,-5.359558316080054,0.1014492753623192,0.0455486542443064,-2.0,0.0,-0.0082815734989647,0.0,-7.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
